layer,prefill_chunk,prefill_key,n_decode,kv_decode,decode_q_len,time_us
attention,0,0.0,128,16384,1,442.7
attention,0,0.0,128,16384,2,823.224
attention,0,0.0,128,16384,3,1241.9
attention,0,0.0,128,16384,5,2001.09
attention,0,0.0,128,16384,9,3613.46
attention,0,0.0,128,32768,1,440.962
attention,0,0.0,128,32768,2,820.622
attention,0,0.0,128,32768,3,1243.96
attention,0,0.0,128,32768,5,2001.19
attention,0,0.0,128,32768,9,3613.15
attention,0,0.0,128,65536,1,439.415
attention,0,0.0,128,65536,2,817.037
attention,0,0.0,128,65536,3,1233.8
attention,0,0.0,128,65536,5,2000.03
attention,0,0.0,128,65536,9,3613.96
attention,0,0.0,128,131072,1,440.494
attention,0,0.0,128,131072,2,812.868
attention,0,0.0,128,131072,3,1241.26
attention,0,0.0,128,131072,5,2003.83
attention,0,0.0,128,131072,9,3608.66
attention,0,0.0,128,163830,1,440.599
attention,0,0.0,128,163830,2,819.801
attention,0,0.0,128,163830,3,1228.85
attention,0,0.0,128,163830,5,1988.05
attention,0,0.0,128,163830,9,3620.01
attention,0,0.0,256,16,1,4420.65
attention,0,0.0,256,16,2,8840.92
attention,0,0.0,256,16,3,13396.7
attention,0,0.0,256,16,5,22751
attention,0,0.0,256,16,9,39908.9
attention,0,0.0,256,32,1,4389.63
attention,0,0.0,256,32,2,8776.15
attention,0,0.0,256,32,3,13202
attention,0,0.0,256,32,5,22128.8
attention,0,0.0,256,32,9,39617.4
attention,0,0.0,256,64,1,4328.2
attention,0,0.0,256,64,2,8647.25
attention,0,0.0,256,64,3,13015.2
attention,0,0.0,256,64,5,22175.9
attention,0,0.0,256,64,9,39044.3
attention,0,0.0,256,128,1,4216.35
attention,0,0.0,256,128,2,8404.12
attention,0,0.0,256,128,3,12660.3
attention,0,0.0,256,128,5,21265.3
attention,0,0.0,256,128,9,37887.6
attention,0,0.0,256,256,1,4161.18
attention,0,0.0,256,256,2,7889.23
attention,0,0.0,256,256,3,11862.7
attention,0,0.0,256,256,5,19790.3
attention,0,0.0,256,256,9,35538.5
attention,0,0.0,256,512,1,3536.91
attention,0,0.0,256,512,2,6860.57
attention,0,0.0,256,512,3,10308.9
attention,0,0.0,256,512,5,17580.3
attention,0,0.0,256,512,9,30872.1
attention,0,0.0,256,1024,1,2468.73
attention,0,0.0,256,1024,2,4856.92
attention,0,0.0,256,1024,3,7418.81
attention,0,0.0,256,1024,5,12036.3
attention,0,0.0,256,1024,9,21556.2
attention,0,0.0,256,2048,1,858.264
attention,0,0.0,256,2048,2,1591.91
attention,0,0.0,256,2048,3,2451.26
attention,0,0.0,256,2048,5,4047.08
attention,0,0.0,256,2048,9,7212.4
attention,0,0.0,256,4096,1,869.219
attention,0,0.0,256,4096,2,1591.3
attention,0,0.0,256,4096,3,2449.61
attention,0,0.0,256,4096,5,4044.27
attention,0,0.0,256,4096,9,7203.05
attention,0,0.0,256,8192,1,881.828
attention,0,0.0,256,8192,2,1594.4
attention,0,0.0,256,8192,3,2455.21
attention,0,0.0,256,8192,5,4043.77
attention,0,0.0,256,8192,9,7201.7
attention,0,0.0,256,16384,1,881.731
attention,0,0.0,256,16384,2,1587.41
attention,0,0.0,256,16384,3,2449.8
attention,0,0.0,256,16384,5,4042.1
attention,0,0.0,256,16384,9,7203.78
attention,0,0.0,256,32768,1,882.339
attention,0,0.0,256,32768,2,1588.1
attention,0,0.0,256,32768,3,2447.61
attention,0,0.0,256,32768,5,4042.05
attention,0,0.0,256,32768,9,7208.67
attention,0,0.0,256,65536,1,881.358
attention,0,0.0,256,65536,2,1587.64
attention,0,0.0,256,65536,3,2440.91
attention,0,0.0,256,65536,5,4036.35
attention,0,0.0,256,65536,9,7201.3
attention,0,0.0,256,131072,1,884.527
attention,0,0.0,256,131072,2,1579.3
attention,0,0.0,256,131072,3,2456.93
attention,0,0.0,256,131072,5,4043.73
attention,0,0.0,256,131072,9,7211.35
attention,0,0.0,256,163830,1,882.713
attention,0,0.0,256,163830,2,1586.25
attention,0,0.0,256,163830,3,2439.73
attention,0,0.0,256,163830,5,4043.59
attention,0,0.0,256,163830,9,7205.15
attention,16,16.0,0,0,1,899.119
attention,16,16.0,1,16,1,950.638
attention,16,16.0,1,16,2,1006.43
attention,16,16.0,1,16,3,1060.29
attention,16,16.0,1,16,5,1170.8
attention,16,16.0,1,16,9,1401.25
attention,16,16.0,1,32,1,946.842
attention,16,16.0,1,32,2,998.586
attention,16,16.0,1,32,3,1046.58
attention,16,16.0,1,32,5,1148.12
attention,16,16.0,1,32,9,1358.5
attention,16,16.0,1,64,1,947.727
attention,16,16.0,1,64,2,1000.52
attention,16,16.0,1,64,3,1050.61
attention,16,16.0,1,64,5,1156.31
attention,16,16.0,1,64,9,1363.74
attention,16,16.0,1,128,1,947.92
