layer,prefill_chunk,prefill_key,n_decode,kv_decode,decode_q_len,time_us
attention,16,24.0,16,16,1,12.7143
attention,16,24.0,16,24,1,12.8853
attention,16,24.0,16,36,1,12.9387
attention,16,24.0,16,54,1,12.907
attention,16,24.0,16,81,1,13.344
attention,16,24.0,16,122,1,13.5887
attention,16,24.0,16,182,1,17.6317
attention,16,24.0,16,273,1,22.9437
attention,16,24.0,16,410,1,28.4053
attention,16,24.0,16,615,1,34.7093
attention,16,24.0,16,923,1,50.304
attention,16,24.0,16,1384,1,67.659
attention,16,24.0,16,2076,1,98.742
attention,16,24.0,16,3114,1,141.366
attention,16,24.0,16,4671,1,204.972
attention,16,24.0,16,7006,1,305.068
attention,16,24.0,16,10509,1,465.783
attention,16,24.0,16,15764,1,697.806
attention,16,24.0,16,16384,1,726.745
attention,16,24.0,32,16,1,16.9603
attention,16,24.0,32,24,1,17.056
attention,16,24.0,32,36,1,17.1417
attention,16,24.0,32,54,1,17.3973
attention,16,24.0,32,81,1,17.9627
attention,16,24.0,32,122,1,18.6133
attention,16,24.0,32,182,1,25.643
attention,16,24.0,32,273,1,33.3753
attention,16,24.0,32,410,1,41.8993
attention,16,24.0,32,615,1,51.7017
attention,16,24.0,32,923,1,75.4233
attention,16,24.0,32,1384,1,100.715
attention,16,24.0,32,2076,1,147.969
attention,16,24.0,32,3114,1,212.972
attention,16,24.0,32,4671,1,316.716
attention,16,24.0,32,7006,1,482.872
attention,16,24.0,32,10509,1,725.038
attention,16,24.0,32,15764,1,1080.44
attention,16,24.0,32,16384,1,1122.71
attention,16,24.0,64,16,1,29.6643
attention,16,24.0,64,24,1,29.697
attention,16,24.0,64,36,1,30.1127
attention,16,24.0,64,54,1,30.4327
attention,16,24.0,64,81,1,31.317
attention,16,24.0,64,122,1,32.8747
attention,16,24.0,64,182,1,46.9867
attention,16,24.0,64,273,1,63.3277
attention,16,24.0,64,410,1,80.0217
attention,16,24.0,64,615,1,98.8063
attention,16,24.0,64,923,1,148.065
attention,16,24.0,64,1384,1,196.065
attention,16,24.0,64,2076,1,295.298
attention,16,24.0,64,3114,1,518.754
attention,16,24.0,64,4671,1,833.732
attention,16,24.0,64,7006,1,1253.58
attention,16,24.0,64,10509,1,1878.12
attention,16,24.0,64,15764,1,2868.74
attention,16,24.0,64,16384,1,2945.96
attention,16,24.0,128,16,1,51.2007
attention,16,24.0,128,24,1,51.52
attention,16,24.0,128,36,1,52.171
attention,16,24.0,128,54,1,53.259
attention,16,24.0,128,81,1,55.7447
attention,16,24.0,128,122,1,60.641
attention,16,24.0,128,182,1,89.483
attention,16,24.0,128,273,1,122.454
attention,16,24.0,128,410,1,161.377
attention,16,24.0,128,615,1,206.529
attention,16,24.0,128,923,1,308.012
attention,16,24.0,128,1384,1,424.289
attention,16,24.0,128,2076,1,777.934
attention,16,24.0,128,3114,1,1606.53
attention,16,24.0,128,4671,1,2444.07
attention,16,24.0,128,7006,1,3652.26
attention,16,24.0,128,10509,1,5757.59
attention,16,24.0,128,15764,1,9649.37
attention,16,24.0,128,16384,1,10145
attention,16,36.0,0,0,1,8.672
attention,16,36.0,1,16,1,8.693
attention,16,36.0,1,24,1,8.51233
attention,16,36.0,1,36,1,8.53333
attention,16,36.0,1,54,1,8.50133
attention,16,36.0,1,81,1,8.60767
attention,16,36.0,1,122,1,8.52267
attention,16,36.0,1,182,1,10.325
attention,16,36.0,1,273,1,12.8853
attention,16,36.0,1,410,1,15.3493
attention,16,36.0,1,615,1,18.1763
attention,16,36.0,1,923,1,25.7383
attention,16,36.0,1,1384,1,33.7067
attention,16,36.0,1,2076,1,48.9497
attention,16,36.0,1,3114,1,69.728
attention,16,36.0,1,4671,1,100.747
attention,16,36.0,1,7006,1,147.808
attention,16,36.0,1,10509,1,219.991
attention,16,36.0,1,15764,1,326.177
attention,16,36.0,1,16384,1,338.604
attention,16,36.0,2,16,1,8.459
attention,16,36.0,2,24,1,8.56567
attention,16,36.0,2,36,1,8.661
attention,16,36.0,2,54,1,8.57633
attention,16,36.0,2,81,1,8.60833
attention,16,36.0,2,122,1,8.72533
attention,16,36.0,2,182,1,10.4327
attention,16,36.0,2,273,1,12.9387
attention,16,36.0,2,410,1,15.3707
attention,16,36.0,2,615,1,18.197
attention,16,36.0,2,923,1,25.6
attention,16,36.0,2,1384,1,33.771
attention,16,36.0,2,2076,1,48.9503
attention,16,36.0,2,3114,1,69.7387
attention,16,36.0,2,4671,1,100.907
attention,16,36.0,2,7006,1,147.318
attention,16,36.0,2,10509,1,219.809
attention,16,36.0,2,15764,1,326.028
attention,16,36.0,2,16384,1,338.807
attention,16,36.0,4,16,1,8.44833
attention,16,36.0,4,24,1,8.27733
attention,16,36.0,4,36,1,8.396
attention,16,36.0,4,54,1,8.448
attention,16,36.0,4,81,1,8.459
attention,16,36.0,4,122,1,8.58667
attention,16,36.0,4,182,1,10.368
attention,16,36.0,4,273,1,12.758
attention,16,36.0,4,410,1,15.338
attention,16,36.0,4,615,1,18.1337
attention,16,36.0,4,923,1,25.771
attention,16,36.0,4,1384,1,33.9303
attention,16,36.0,4,2076,1,49.152
attention,16,36.0,4,3114,1,70.091
attention,16,36.0,4,4671,1,101.355
attention,16,36.0,4,7006,1,147.915
attention,16,36.0,4,10509,1,220.747
attention,16,36.0,4,15764,1,329.335
attention,16,36.0,4,16384,1,342.881
attention,16,36.0,8,16,1,8.32033
attention,16,36.0,8,24,1,8.352
attention,16,36.0,8,36,1,8.533
attention,16,36.0,8,54,1,8.608
attention,16,36.0,8,81,1,8.736
attention,16,36.0,8,122,1,8.77967
attention,16,36.0,8,182,1,10.5283
attention,16,36.0,8,273,1,13.1943
attention,16,36.0,8,410,1,15.68
attention,16,36.0,8,615,1,18.7947
attention,16,36.0,8,923,1,26.2513
attention,16,36.0,8,1384,1,35.0827
attention,16,36.0,8,2076,1,50.795
attention,16,36.0,8,3114,1,72.875
attention,16,36.0,8,4671,1,103.425
attention,16,36.0,8,7006,1,150.433
attention,16,36.0,8,10509,1,228.812
attention,16,36.0,8,15764,1,340.738
attention,16,36.0,8,16384,1,356.674
attention,16,36.0,16,16,1,12.747
attention,16,36.0,16,24,1,12.7147
attention,16,36.0,16,36,1,12.9067
attention,16,36.0,16,54,1,13.013
attention,16,36.0,16,81,1,13.4083
attention,16,36.0,16,122,1,13.5253
attention,16,36.0,16,182,1,17.664
attention,16,36.0,16,273,1,22.8267
attention,16,36.0,16,410,1,28.2883
attention,16,36.0,16,615,1,34.6777
attention,16,36.0,16,923,1,50.5717
attention,16,36.0,16,1384,1,67.4667
attention,16,36.0,16,2076,1,98.9127
attention,16,36.0,16,3114,1,141.035
attention,16,36.0,16,4671,1,204.949
attention,16,36.0,16,7006,1,304.813
attention,16,36.0,16,10509,1,465.719
attention,16,36.0,16,15764,1,697.124
attention,16,36.0,16,16384,1,726.852
attention,16,36.0,32,16,1,16.8967
attention,16,36.0,32,24,1,17.1307
attention,16,36.0,32,36,1,17.312
attention,16,36.0,32,54,1,17.5573
attention,16,36.0,32,81,1,17.7493
attention,16,36.0,32,122,1,18.528
attention,16,36.0,32,182,1,25.6213
attention,16,36.0,32,273,1,33.2697
attention,16,36.0,32,410,1,41.771
attention,16,36.0,32,615,1,51.7663
attention,16,36.0,32,923,1,75.5523
attention,16,36.0,32,1384,1,100.641
attention,16,36.0,32,2076,1,147.67
attention,16,36.0,32,3114,1,213.227
attention,16,36.0,32,4671,1,317.036
attention,16,36.0,32,7006,1,482.637
attention,16,36.0,32,10509,1,726.169
attention,16,36.0,32,15764,1,1079.06
attention,16,36.0,32,16384,1,1123.43
attention,16,36.0,64,16,1,29.6747
attention,16,36.0,64,24,1,29.9097
attention,16,36.0,64,36,1,30.0377
attention,16,36.0,64,54,1,30.688
attention,16,36.0,64,81,1,31.3607
attention,16,36.0,64,122,1,32.8427
attention,16,36.0,64,182,1,47.1253
attention,16,36.0,64,273,1,63.1893
attention,16,36.0,64,410,1,79.8193
attention,16,36.0,64,615,1,98.8587
attention,16,36.0,64,923,1,148.193
attention,16,36.0,64,1384,1,196.364
attention,16,36.0,64,2076,1,295.255
attention,16,36.0,64,3114,1,518.061
attention,16,36.0,64,4671,1,834.5
attention,16,36.0,64,7006,1,1251.95
attention,16,36.0,64,10509,1,1879.98
attention,16,36.0,64,15764,1,2855.42
attention,16,36.0,64,16384,1,2939.96
attention,16,36.0,128,16,1,51.1473
attention,16,36.0,128,24,1,51.5413
attention,16,36.0,128,36,1,52.1283
attention,16,36.0,128,54,1,53.4077
attention,16,36.0,128,81,1,55.7123
attention,16,36.0,128,122,1,60.9283
attention,16,36.0,128,182,1,89.452
attention,16,36.0,128,273,1,122.486
attention,16,36.0,128,410,1,161.729
attention,16,36.0,128,615,1,206.401
attention,16,36.0,128,923,1,306.668
attention,16,36.0,128,1384,1,424.407
attention,16,36.0,128,2076,1,784.813
attention,16,36.0,128,3114,1,1594.31
attention,16,36.0,128,4671,1,2445.57
attention,16,36.0,128,7006,1,3651.1
attention,16,36.0,128,10509,1,5592.18
attention,16,36.0,128,15764,1,10075.4
attention,16,36.0,128,16384,1,10340.7
attention,16,54.0,0,0,1,8.71467
attention,16,54.0,1,16,1,8.555
attention,16,54.0,1,24,1,8.64
attention,16,54.0,1,36,1,8.62933
attention,16,54.0,1,54,1,8.619
attention,16,54.0,1,81,1,8.63967
attention,16,54.0,1,122,1,8.55433
attention,16,54.0,1,182,1,10.454
attention,16,54.0,1,273,1,12.9923
attention,16,54.0,1,410,1,15.4027
attention,16,54.0,1,615,1,18.166
attention,16,54.0,1,923,1,25.6537
attention,16,54.0,1,1384,1,33.7387
attention,16,54.0,1,2076,1,48.9607
attention,16,54.0,1,3114,1,69.6323
attention,16,54.0,1,4671,1,100.812
attention,16,54.0,1,7006,1,147.436
attention,16,54.0,1,10509,1,219.883
attention,16,54.0,1,15764,1,325.761
attention,16,54.0,1,16384,1,339.116
attention,16,54.0,2,16,1,8.544
attention,16,54.0,2,24,1,8.47967
attention,16,54.0,2,36,1,8.50167
attention,16,54.0,2,54,1,8.52267
attention,16,54.0,2,81,1,8.60767
attention,16,54.0,2,122,1,8.53333
attention,16,54.0,2,182,1,10.4847
attention,16,54.0,2,273,1,12.885
attention,16,54.0,2,410,1,15.456
attention,16,54.0,2,615,1,18.1657
attention,16,54.0,2,923,1,25.7707
attention,16,54.0,2,1384,1,33.7927
attention,16,54.0,2,2076,1,49.1737
attention,16,54.0,2,3114,1,69.6433
attention,16,54.0,2,4671,1,101.334
attention,16,54.0,2,7006,1,147.723
attention,16,54.0,2,10509,1,220.15
attention,16,54.0,2,15764,1,326.679
attention,16,54.0,2,16384,1,338.316
attention,16,54.0,4,16,1,8.24567
attention,16,54.0,4,24,1,8.29867
attention,16,54.0,4,36,1,8.41567
attention,16,54.0,4,54,1,8.41533
attention,16,54.0,4,81,1,8.544
attention,16,54.0,4,122,1,8.58667
attention,16,54.0,4,182,1,10.272
attention,16,54.0,4,273,1,12.8323
attention,16,54.0,4,410,1,15.2537
attention,16,54.0,4,615,1,18.2397
attention,16,54.0,4,923,1,25.6963
attention,16,54.0,4,1384,1,33.995
attention,16,54.0,4,2076,1,49.12
attention,16,54.0,4,3114,1,70.24
attention,16,54.0,4,4671,1,101.408
attention,16,54.0,4,7006,1,148.289
attention,16,54.0,4,10509,1,220.459
attention,16,54.0,4,15764,1,329.708
