layer,prefill_tokens,n_decode,time_us
gdn_post_conv,32,32,5.643
gdn_post_conv,32,64,5.78133
gdn_post_conv,32,128,5.26933
gdn_post_conv,64,0,5.95233
gdn_post_conv,64,1,5.69633
gdn_post_conv,64,2,5.80233
gdn_post_conv,64,4,5.877
gdn_post_conv,64,8,5.88833
gdn_post_conv,64,16,5.931
gdn_post_conv,64,32,5.93067
gdn_post_conv,64,64,5.05533
gdn_post_conv,64,128,5.237
gdn_post_conv,65,0,5.56833
gdn_post_conv,65,1,5.65333
gdn_post_conv,65,2,5.74933
gdn_post_conv,65,4,5.84533
gdn_post_conv,65,8,5.79267
gdn_post_conv,65,16,5.803
gdn_post_conv,65,32,5.81367
gdn_post_conv,65,64,4.576
gdn_post_conv,65,128,4.53267
gdn_post_conv,128,0,5.622
gdn_post_conv,128,1,5.49333
gdn_post_conv,128,2,5.568
gdn_post_conv,128,4,5.568
gdn_post_conv,128,8,5.72833
gdn_post_conv,128,16,5.526
gdn_post_conv,128,32,5.973
gdn_post_conv,128,64,5.54667
gdn_post_conv,128,128,6.00533
gdn_post_conv,129,0,5.28067
gdn_post_conv,129,1,5.32267
gdn_post_conv,129,2,5.41867
gdn_post_conv,129,4,5.51467
gdn_post_conv,129,8,5.39767
gdn_post_conv,129,16,5.43967
gdn_post_conv,129,32,5.76033
gdn_post_conv,129,64,5.44
gdn_post_conv,129,128,5.34467
gdn_post_conv,256,0,7.64833
gdn_post_conv,256,1,7.10433
gdn_post_conv,256,2,7.09367
gdn_post_conv,256,4,7.16767
gdn_post_conv,256,8,7.06133
gdn_post_conv,256,16,7.061
gdn_post_conv,256,32,7.712
gdn_post_conv,256,64,9.045
gdn_post_conv,256,128,9.83433
gdn_post_conv,257,0,6.91233
gdn_post_conv,257,1,6.91233
gdn_post_conv,257,2,6.902
gdn_post_conv,257,4,6.95433
gdn_post_conv,257,8,6.837
gdn_post_conv,257,16,6.83733
gdn_post_conv,257,32,7.285
gdn_post_conv,257,64,8.05333
gdn_post_conv,257,128,9.22667
gdn_post_conv,512,0,13.1307
gdn_post_conv,512,1,13.5043
gdn_post_conv,512,2,13.4507
gdn_post_conv,512,4,14.144
gdn_post_conv,512,8,13.4933
gdn_post_conv,512,16,14.2933
gdn_post_conv,512,32,14.955
gdn_post_conv,512,64,11.1043
gdn_post_conv,512,128,12.7893
gdn_post_conv,513,0,13.4293
gdn_post_conv,513,1,13.792
gdn_post_conv,513,2,13.6423
gdn_post_conv,513,4,13.8133
gdn_post_conv,513,8,14.357
gdn_post_conv,513,16,14.9547
gdn_post_conv,513,32,15.3707
gdn_post_conv,513,64,10.7307
gdn_post_conv,513,128,11.7547
gdn_post_conv,1024,0,40.181
gdn_post_conv,1024,1,42.5913
gdn_post_conv,1024,2,42.7417
gdn_post_conv,1024,4,42.8157
gdn_post_conv,1024,8,43.125
gdn_post_conv,1024,16,41.9313
gdn_post_conv,1024,32,42.5283
gdn_post_conv,1024,64,41.3123
gdn_post_conv,1024,128,38.0053
gdn_post_conv,1025,0,42.1653
gdn_post_conv,1025,1,42.176
gdn_post_conv,1025,2,41.8987
gdn_post_conv,1025,4,41.536
gdn_post_conv,1025,8,41.7813
gdn_post_conv,1025,16,42.1123
gdn_post_conv,1025,32,41.8347
gdn_post_conv,1025,64,41.0787
gdn_post_conv,1025,128,36.6617
gdn_post_conv,2048,0,74.1443
gdn_post_conv,2048,1,73.1843
gdn_post_conv,2048,2,73.6637
gdn_post_conv,2048,4,75.0823
gdn_post_conv,2048,8,73.739
gdn_post_conv,2048,16,73.728
gdn_post_conv,2048,32,72.9707
gdn_post_conv,2048,64,71.936
gdn_post_conv,2048,128,71.6807
gdn_prefill,16,0,62.9323
gdn_prefill,16,1,63.2317
gdn_prefill,16,2,63.339
gdn_prefill,16,4,63.3727
gdn_prefill,16,8,63.242
gdn_prefill,16,16,63.2743
gdn_prefill,16,32,63.1357
gdn_prefill,16,64,63.5943
gdn_prefill,16,128,68.4803
gdn_prefill,32,0,71.201
gdn_prefill,32,1,71.574
gdn_prefill,32,2,71.413
gdn_prefill,32,4,71.563
gdn_prefill,32,8,71.3823
gdn_prefill,32,16,71.5197
gdn_prefill,32,32,71.2543
gdn_prefill,32,64,71.7553
gdn_prefill,32,128,77.4407
gdn_prefill,64,0,88.895
gdn_prefill,64,1,89.045
gdn_prefill,64,2,89.194
gdn_prefill,64,4,89.0217
gdn_prefill,64,8,89.0987
gdn_prefill,64,16,89.1097
gdn_prefill,64,32,89.0793
gdn_prefill,64,64,89.3443
gdn_prefill,64,128,96.1283
gdn_prefill,65,0,93.9623
gdn_prefill,65,1,93.964
gdn_prefill,65,2,93.9743
gdn_prefill,65,4,94.1877
gdn_prefill,65,8,93.9743
gdn_prefill,65,16,94.0057
gdn_prefill,65,32,94.0473
gdn_prefill,65,64,94.2833
gdn_prefill,65,128,100.022
gdn_prefill,128,0,98.5487
gdn_prefill,128,1,98.9127
gdn_prefill,128,2,98.944
gdn_prefill,128,4,98.5707
gdn_prefill,128,8,98.5503
gdn_prefill,128,16,98.497
gdn_prefill,128,32,98.8057
gdn_prefill,128,64,99.19
gdn_prefill,128,128,107.306
gdn_prefill,129,0,102.432
gdn_prefill,129,1,102.21
gdn_prefill,129,2,102.497
gdn_prefill,129,4,102.337
gdn_prefill,129,8,102.454
gdn_prefill,129,16,102.316
gdn_prefill,129,32,102.626
gdn_prefill,129,64,102.68
gdn_prefill,129,128,113.589
gdn_prefill,256,0,114.774
gdn_prefill,256,1,115.06
gdn_prefill,256,2,114.933
gdn_prefill,256,4,115.115
gdn_prefill,256,8,114.528
gdn_prefill,256,16,114.721
gdn_prefill,256,32,115.104
gdn_prefill,256,64,115.445
gdn_prefill,256,128,127.254
gdn_prefill,257,0,119.373
gdn_prefill,257,1,119.65
gdn_prefill,257,2,119.681
gdn_prefill,257,4,119.678
gdn_prefill,257,8,120
gdn_prefill,257,16,119.84
gdn_prefill,257,32,119.616
gdn_prefill,257,64,120.31
gdn_prefill,257,128,135.99
gdn_prefill,512,0,159.723
gdn_prefill,512,1,160.002
gdn_prefill,512,2,159.991
gdn_prefill,512,4,160.747
gdn_prefill,512,8,160.182
gdn_prefill,512,16,160.716
gdn_prefill,512,32,160.033
gdn_prefill,512,64,162.411
gdn_prefill,512,128,178.913
gdn_prefill,513,0,167.436
gdn_prefill,513,1,167.724
gdn_prefill,513,2,167.531
gdn_prefill,513,4,168.096
gdn_prefill,513,8,167.456
gdn_prefill,513,16,167.822
gdn_prefill,513,32,167.935
gdn_prefill,513,64,169.408
gdn_prefill,513,128,189.644
gdn_prefill,1024,0,268.47
gdn_prefill,1024,1,268.32
gdn_prefill,1024,2,268.309
gdn_prefill,1024,4,268.279
gdn_prefill,1024,8,266.838
gdn_prefill,1024,16,267.478
gdn_prefill,1024,32,267.723
gdn_prefill,1024,64,269.121
gdn_prefill,1024,128,293.151
gdn_prefill,1025,0,274.283
gdn_prefill,1025,1,274.071
gdn_prefill,1025,2,273.792
gdn_prefill,1025,4,273.643
gdn_prefill,1025,8,274.006
gdn_prefill,1025,16,274.431
gdn_prefill,1025,32,273.75
gdn_prefill,1025,64,278.358
gdn_prefill,1025,128,303.105
gdn_prefill,2048,0,451.692
gdn_prefill,2048,1,451.669
gdn_prefill,2048,2,446.976
gdn_prefill,2048,4,440.767
gdn_prefill,2048,8,453.835
gdn_prefill,2048,16,460.309
gdn_prefill,2048,32,456.181
gdn_prefill,2048,64,474.283
gdn_prefill,2048,128,487.285
