prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,512,1,16,24.5747
16,512,1,32,24.639
16,512,1,64,24.6923
16,512,1,128,24.66
16,512,1,256,24.895
16,512,1,512,25.1073
16,512,1,1024,40.7127
16,512,1,2048,72.667
16,512,1,4096,136.976
16,512,1,8192,265.193
16,512,1,16384,520.228
16,512,2,16,24.5757
16,512,2,32,24.6177
16,512,2,64,24.6613
16,512,2,128,24.734
16,512,2,256,24.8307
16,512,2,512,25.4167
16,512,2,1024,40.989
16,512,2,2048,73.18
16,512,2,4096,137.796
16,512,2,8192,265.884
16,512,2,16384,521.076
16,512,4,16,30.836
16,512,4,32,30.8893
16,512,4,64,31.2727
16,512,4,128,34.7707
16,512,4,256,38.835
16,512,4,512,46.5783
16,512,4,1024,77.02
16,512,4,2048,134.393
16,512,4,4096,197.08
16,512,4,8192,321.927
16,512,4,16384,571.242
16,512,8,16,36.0623
16,512,8,32,36.2753
16,512,8,64,36.7657
16,512,8,128,43.8593
16,512,8,256,51.7103
16,512,8,512,67.356
16,512,8,1024,112.72
16,512,8,2048,182.684
16,512,8,4096,309.874
16,512,8,8192,562.806
16,512,8,16384,1071.37
16,512,16,16,46.6963
16,512,16,32,46.8887
16,512,16,64,47.635
16,512,16,128,62.0457
16,512,16,256,77.6493
16,512,16,512,108.656
16,512,16,1024,184.259
16,512,16,2048,317.356
16,512,16,4096,569.071
16,512,16,8192,1074.58
16,512,16,16384,2089.83
16,512,32,16,67.3257
16,512,32,32,68.297
16,512,32,64,69.3633
16,512,32,128,97.533
16,512,32,256,128.444
16,512,32,512,191.045
16,512,32,1024,321.739
16,512,32,2048,574.153
16,512,32,4096,1078.15
16,512,32,8192,2107.2
16,512,32,16384,4139.75
16,512,64,16,108.894
16,512,64,32,109.683
16,512,64,64,111.731
16,512,64,128,169.586
16,512,64,256,238.747
16,512,64,512,384.226
16,512,64,1024,651.009
16,512,64,2048,1180.48
16,512,64,4096,2347.69
16,512,64,8192,4681.5
16,512,64,16384,10166.3
16,512,128,16,187.743
16,512,128,32,190.291
16,512,128,64,195.806
16,512,128,128,317.245
16,512,128,256,481.033
