layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,16,64,64,16,1,148.865
attention,16,64,64,32,1,151.264
attention,16,64,64,64,1,209.601
attention,16,64,64,128,1,281.217
attention,16,64,64,256,1,422.336
attention,16,64,64,512,1,714.818
attention,16,64,64,1024,1,1297.6
attention,16,64,64,2048,1,2617.89
attention,16,64,64,4096,1,5281.39
attention,16,64,64,8192,1,10288.6
attention,16,64,64,16384,1,20401.7
attention,16,64,128,16,1,255.743
attention,16,64,128,32,1,262.626
attention,16,64,128,64,1,399.298
attention,16,64,128,128,1,571.521
attention,16,64,128,256,1,903.011
attention,16,64,128,512,1,1567.01
attention,16,64,128,1024,1,3113.13
attention,16,64,128,2048,1,9335.48
attention,16,64,128,4096,1,18326.3
attention,16,64,128,8192,1,45493.6
attention,16,64,128,16384,1,98939.8
attention,16,128,0,0,1,44.352
attention,16,128,1,16,1,41.664
attention,16,128,1,32,1,41.856
attention,16,128,1,64,1,41.887
attention,16,128,1,128,1,44.321
attention,16,128,1,256,1,55.743
attention,16,128,1,512,1,86.529
attention,16,128,1,1024,1,146.4
attention,16,128,1,2048,1,268.48
attention,16,128,1,4096,1,509.793
attention,16,128,1,8192,1,994.657
attention,16,128,1,16384,1,1958.24
attention,16,128,2,16,1,41.377
attention,16,128,2,32,1,41.664
attention,16,128,2,64,1,41.28
attention,16,128,2,128,1,43.295
attention,16,128,2,256,1,55.488
attention,16,128,2,512,1,85.632
attention,16,128,2,1024,1,146.847
attention,16,128,2,2048,1,266.592
attention,16,128,2,4096,1,510.849
attention,16,128,2,8192,1,996.58
attention,16,128,2,16384,1,1967.88
attention,16,128,4,16,1,41.664
attention,16,128,4,32,1,41.823
attention,16,128,4,64,1,41.28
attention,16,128,4,128,1,42.752
attention,16,128,4,256,1,56
attention,16,128,4,512,1,86.24
attention,16,128,4,1024,1,147.457
attention,16,128,4,2048,1,269.76
attention,16,128,4,4096,1,511.807
attention,16,128,4,8192,1,994.082
attention,16,128,4,16384,1,1969.03
attention,16,128,8,16,1,58.881
attention,16,128,8,32,1,59.136
attention,16,128,8,64,1,65.15
attention,16,128,8,128,1,74.784
attention,16,128,8,256,1,99.459
attention,16,128,8,512,1,162.208
attention,16,128,8,1024,1,285.888
attention,16,128,8,2048,1,529.507
attention,16,128,8,4096,1,1018.62
attention,16,128,8,8192,1,1998.82
attention,16,128,8,16384,1,3954.54
attention,16,128,16,16,1,72.256
attention,16,128,16,32,1,73.472
attention,16,128,16,64,1,86.301
attention,16,128,16,128,1,103.298
attention,16,128,16,256,1,146.176
attention,16,128,16,512,1,238.208
attention,16,128,16,1024,1,425.183
attention,16,128,16,2048,1,788.161
attention,16,128,16,4096,1,1525.35
attention,16,128,16,8192,1,2997.54
attention,16,128,16,16384,1,5937.9
attention,16,128,32,16,1,100.416
attention,16,128,32,32,1,101.791
attention,16,128,32,64,1,130.338
attention,16,128,32,128,1,164.448
attention,16,128,32,256,1,238.176
attention,16,128,32,512,1,391.809
attention,16,128,32,1024,1,698.241
attention,16,128,32,2048,1,1312.13
attention,16,128,32,4096,1,2542.28
attention,16,128,32,8192,1,5004.75
attention,16,128,32,16384,1,9880.99
attention,16,128,64,16,1,156.64
attention,16,128,64,32,1,160.096
attention,16,128,64,64,1,217.537
attention,16,128,64,128,1,285.185
attention,16,128,64,256,1,423.458
attention,16,128,64,512,1,713.986
attention,16,128,64,1024,1,1296.04
attention,16,128,64,2048,1,2623.62
attention,16,128,64,4096,1,5278.41
attention,16,128,64,8192,1,10296.4
attention,16,128,64,16384,1,20374.9
attention,16,128,128,16,1,269.152
attention,16,128,128,32,1,277.312
