layer,prefill_tokens,n_decode,time_us
gdn_decode,0,1,0.945667
gdn_decode,0,2,6.37522
gdn_decode,0,4,11.3103
gdn_decode,0,8,20.0179
gdn_decode,0,16,35.947
gdn_decode,0,32,81.9913
gdn_decode,0,64,214.586
gdn_decode,0,128,496.156
gdn_decode,0,256,1057.92
gdn_decode_mixed,16,1,5.64978
gdn_decode_mixed,16,2,8.02489
gdn_decode_mixed,16,4,13.1698
gdn_decode_mixed,16,8,20.0249
gdn_decode_mixed,16,16,37.2588
gdn_decode_mixed,16,32,89.366
gdn_decode_mixed,16,64,224.033
gdn_decode_mixed,16,128,509.024
gdn_decode_mixed,32,1,5.66022
gdn_decode_mixed,32,2,8.121
gdn_decode_mixed,32,4,13.2408
gdn_decode_mixed,32,8,20.1033
gdn_decode_mixed,32,16,37.1166
gdn_decode_mixed,32,32,91.3284
gdn_decode_mixed,32,64,225.057
gdn_decode_mixed,32,128,508.884
gdn_decode_mixed,64,1,5.63544
gdn_decode_mixed,64,2,8.06756
gdn_decode_mixed,64,4,13.1449
gdn_decode_mixed,64,8,20.1139
gdn_decode_mixed,64,16,38.4999
gdn_decode_mixed,64,32,91.915
gdn_decode_mixed,64,64,227.084
gdn_decode_mixed,64,128,511.409
gdn_decode_mixed,65,1,5.71389
gdn_decode_mixed,65,2,8.18133
gdn_decode_mixed,65,4,13.2551
gdn_decode_mixed,65,8,20.3381
gdn_decode_mixed,65,16,38.6204
gdn_decode_mixed,65,32,92.1604
gdn_decode_mixed,65,64,227.731
gdn_decode_mixed,65,128,510.09
gdn_decode_mixed,128,1,5.735
gdn_decode_mixed,128,2,8.14578
gdn_decode_mixed,128,4,13.3156
gdn_decode_mixed,128,8,20.3096
gdn_decode_mixed,128,16,41.8458
gdn_decode_mixed,128,32,91.7372
gdn_decode_mixed,128,64,232.001
gdn_decode_mixed,128,128,513.489
gdn_decode_mixed,129,1,5.77778
gdn_decode_mixed,129,2,8.05711
gdn_decode_mixed,129,4,13.3227
gdn_decode_mixed,129,8,20.3948
gdn_decode_mixed,129,16,42.0341
gdn_decode_mixed,129,32,93.0709
gdn_decode_mixed,129,64,231.176
gdn_decode_mixed,129,128,512.739
gdn_decode_mixed,256,1,5.76
gdn_decode_mixed,256,2,8.08533
gdn_decode_mixed,256,4,13.3404
gdn_decode_mixed,256,8,20.2133
gdn_decode_mixed,256,16,43.4953
gdn_decode_mixed,256,32,95.5311
gdn_decode_mixed,256,64,238.739
gdn_decode_mixed,256,128,520.589
gdn_decode_mixed,257,1,5.82756
gdn_decode_mixed,257,2,8.11022
gdn_decode_mixed,257,4,13.3582
gdn_decode_mixed,257,8,20.4482
gdn_decode_mixed,257,16,44.0962
gdn_decode_mixed,257,32,95.7374
gdn_decode_mixed,257,64,238.963
gdn_decode_mixed,257,128,519.196
gdn_decode_mixed,512,1,6.26156
gdn_decode_mixed,512,2,9.56844
gdn_decode_mixed,512,4,15.961
gdn_decode_mixed,512,8,25.3049
gdn_decode_mixed,512,16,49.3232
gdn_decode_mixed,512,32,103.297
gdn_decode_mixed,512,64,245.214
gdn_decode_mixed,512,128,525.435
gdn_decode_mixed,513,1,6.28256
gdn_decode_mixed,513,2,9.721
gdn_decode_mixed,513,4,15.7051
gdn_decode_mixed,513,8,25.5751
gdn_decode_mixed,513,16,49.4368
gdn_decode_mixed,513,32,103.606
gdn_decode_mixed,513,64,245.363
gdn_decode_mixed,513,128,527.224
gdn_decode_mixed,1024,1,7.08256
gdn_decode_mixed,1024,2,10.7413
gdn_decode_mixed,1024,4,17.2728
gdn_decode_mixed,1024,8,28.4518
gdn_decode_mixed,1024,16,52.0534
gdn_decode_mixed,1024,32,114.184
gdn_decode_mixed,1024,64,254.526
gdn_decode_mixed,1024,128,528.948
gdn_decode_mixed,1025,1,7.2
gdn_decode_mixed,1025,2,10.6809
gdn_decode_mixed,1025,4,17.2872
gdn_decode_mixed,1025,8,28.8143
gdn_decode_mixed,1025,16,52.0853
gdn_decode_mixed,1025,32,113.65
gdn_decode_mixed,1025,64,254.337
gdn_decode_mixed,1025,128,528.714
gdn_decode_mixed,2048,1,8.35222
gdn_decode_mixed,2048,2,11.2711
gdn_decode_mixed,2048,4,17.1768
gdn_decode_mixed,2048,8,29.4508
gdn_decode_mixed,2048,16,55.5522
gdn_decode_mixed,2048,32,123.997
gdn_decode_mixed,2048,64,263.386
gdn_decode_mixed,2048,128,538.346
gdn_post_conv,16,0,1.863
gdn_post_conv,16,1,1.81333
gdn_post_conv,16,2,1.824
gdn_post_conv,16,4,1.80256
gdn_post_conv,16,8,1.831
gdn_post_conv,16,16,1.81322
gdn_post_conv,16,32,1.85244
gdn_post_conv,16,64,1.79533
gdn_post_conv,16,128,1.817
gdn_post_conv,32,0,1.90944
gdn_post_conv,32,1,1.93433
gdn_post_conv,32,2,1.89522
gdn_post_conv,32,4,1.89133
gdn_post_conv,32,8,1.93811
gdn_post_conv,32,16,1.93078
gdn_post_conv,32,32,1.86311
gdn_post_conv,32,64,1.94144
gdn_post_conv,32,128,1.94133
gdn_post_conv,64,0,2.32856
gdn_post_conv,64,1,2.43922
gdn_post_conv,64,2,2.32933
gdn_post_conv,64,4,2.39633
gdn_post_conv,64,8,2.41078
gdn_post_conv,64,16,2.36456
gdn_post_conv,64,32,2.44267
gdn_post_conv,64,64,2.44633
gdn_post_conv,64,128,2.44978
gdn_post_conv,65,0,2.56356
gdn_post_conv,65,1,2.41778
gdn_post_conv,65,2,2.46411
gdn_post_conv,65,4,2.42867
gdn_post_conv,65,8,2.46756
gdn_post_conv,65,16,2.47822
gdn_post_conv,65,32,2.39644
gdn_post_conv,65,64,2.37167
gdn_post_conv,65,128,2.33956
gdn_post_conv,128,0,3.69433
gdn_post_conv,128,1,3.59444
gdn_post_conv,128,2,3.58056
gdn_post_conv,128,4,3.57344
gdn_post_conv,128,8,3.61956
gdn_post_conv,128,16,3.60533
gdn_post_conv,128,32,3.80067
gdn_post_conv,128,64,3.64089
gdn_post_conv,128,128,3.66222
gdn_post_conv,129,0,3.47022
gdn_post_conv,129,1,3.378
gdn_post_conv,129,2,3.424
gdn_post_conv,129,4,3.53089
gdn_post_conv,129,8,3.43467
gdn_post_conv,129,16,3.38144
gdn_post_conv,129,32,3.38489
gdn_post_conv,129,64,3.392
gdn_post_conv,129,128,3.37067
gdn_post_conv,256,0,6.31833
gdn_post_conv,256,1,6.10144
gdn_post_conv,256,2,6.17256
gdn_post_conv,256,4,6.23633
gdn_post_conv,256,8,6.10844
gdn_post_conv,256,16,6.06956
gdn_post_conv,256,32,6.22244
gdn_post_conv,256,64,6.15833
gdn_post_conv,256,128,6.21856
gdn_post_conv,257,0,5.55722
gdn_post_conv,257,1,5.77422
gdn_post_conv,257,2,5.52189
gdn_post_conv,257,4,5.46144
gdn_post_conv,257,8,5.46478
gdn_post_conv,257,16,5.42233
gdn_post_conv,257,32,5.59644
gdn_post_conv,257,64,5.41856
gdn_post_conv,257,128,5.54667
gdn_post_conv,512,0,10.3078
gdn_post_conv,512,1,11.2216
gdn_post_conv,512,2,11.4063
gdn_post_conv,512,4,11.545
gdn_post_conv,512,8,11.4562
gdn_post_conv,512,16,11.5662
gdn_post_conv,512,32,11.3634
gdn_post_conv,512,64,11.8153
gdn_post_conv,512,128,12.4266
gdn_post_conv,513,0,10.4319
gdn_post_conv,513,1,10.5351
gdn_post_conv,513,2,10.5389
gdn_post_conv,513,4,10.6242
gdn_post_conv,513,8,10.6207
gdn_post_conv,513,16,11.0116
gdn_post_conv,513,32,10.9832
gdn_post_conv,513,64,11.438
gdn_post_conv,513,128,10.5884
gdn_post_conv,1024,0,22.4711
gdn_post_conv,1024,1,23.2996
gdn_post_conv,1024,2,22.8908
gdn_post_conv,1024,4,23.0081
gdn_post_conv,1024,8,23.4848
gdn_post_conv,1024,16,23.8863
gdn_post_conv,1024,32,23.2607
gdn_post_conv,1024,64,23.9719
gdn_post_conv,1024,128,24.178
gdn_post_conv,1025,0,22.8053
gdn_post_conv,1025,1,22.9938
gdn_post_conv,1025,2,22.9228
gdn_post_conv,1025,4,23.0438
gdn_post_conv,1025,8,23.2178
gdn_post_conv,1025,16,23.1327
gdn_post_conv,1025,32,23.3069
gdn_post_conv,1025,64,23.794
gdn_post_conv,1025,128,23.6696
gdn_post_conv,2048,0,49.4972
gdn_post_conv,2048,1,48.1247
gdn_post_conv,2048,2,48.1141
gdn_post_conv,2048,4,48.4696
gdn_post_conv,2048,8,48.3271
gdn_post_conv,2048,16,47.9789
gdn_post_conv,2048,32,48.0858
gdn_post_conv,2048,64,47.4598
gdn_post_conv,2048,128,45.8991
gdn_prefill,16,0,22.3112
gdn_prefill,16,1,22.3397
gdn_prefill,16,2,22.3824
gdn_prefill,16,4,22.3433
gdn_prefill,16,8,22.4383
gdn_prefill,16,16,22.3578
gdn_prefill,16,32,23.0999
gdn_prefill,16,64,25.0277
gdn_prefill,16,128,25.1204
gdn_prefill,32,0,25.028
gdn_prefill,32,1,25.1342
gdn_prefill,32,2,25.1024
gdn_prefill,32,4,25.046
gdn_prefill,32,8,25.0986
gdn_prefill,32,16,25.149
gdn_prefill,32,32,25.11
gdn_prefill,32,64,28.3097
gdn_prefill,32,128,28.5834
gdn_prefill,64,0,31.3817
gdn_prefill,64,1,31.4166
gdn_prefill,64,2,31.3637
gdn_prefill,64,4,31.5167
gdn_prefill,64,8,31.4842
gdn_prefill,64,16,31.588
gdn_prefill,64,32,31.9324
gdn_prefill,64,64,35.8193
gdn_prefill,64,128,35.4027
gdn_prefill,65,0,36.0142
gdn_prefill,65,1,36.0036
gdn_prefill,65,2,36.1074
gdn_prefill,65,4,36.2458
gdn_prefill,65,8,36.2061
gdn_prefill,65,16,36.256
gdn_prefill,65,32,36.4942
gdn_prefill,65,64,38.4856
gdn_prefill,65,128,38.5287
gdn_prefill,128,0,37.6997
gdn_prefill,128,1,37.899
gdn_prefill,128,2,37.792
gdn_prefill,128,4,37.9271
gdn_prefill,128,8,37.8528
gdn_prefill,128,16,37.9519
gdn_prefill,128,32,38.2299
gdn_prefill,128,64,43.2716
gdn_prefill,128,128,43.0153
gdn_prefill,129,0,40.0324
gdn_prefill,129,1,40.8819
gdn_prefill,129,2,40.1858
gdn_prefill,129,4,40.3141
gdn_prefill,129,8,41.6436
gdn_prefill,129,16,40.7647
gdn_prefill,129,32,41.1768
gdn_prefill,129,64,45.0131
gdn_prefill,129,128,45.8027
gdn_prefill,256,0,51.3389
gdn_prefill,256,1,50.7096
gdn_prefill,256,2,50.6283
gdn_prefill,256,4,50.7067
gdn_prefill,256,8,51.1461
gdn_prefill,256,16,50.7387
gdn_prefill,256,32,51.702
gdn_prefill,256,64,56.9816
gdn_prefill,256,128,57.1771
gdn_prefill,257,0,54.7487
gdn_prefill,257,1,55.2534
gdn_prefill,257,2,53.9278
gdn_prefill,257,4,54.4103
gdn_prefill,257,8,53.9844
gdn_prefill,257,16,53.9843
gdn_prefill,257,32,56.2384
gdn_prefill,257,64,61.3264
gdn_prefill,257,128,62.2511
gdn_prefill,512,0,84.096
gdn_prefill,512,1,81.3197
gdn_prefill,512,2,81.9806
gdn_prefill,512,4,83.6737
gdn_prefill,512,8,82.2653
gdn_prefill,512,16,83.3856
gdn_prefill,512,32,85.7104
gdn_prefill,512,64,90.699
gdn_prefill,512,128,90.0633
gdn_prefill,513,0,84.1031
gdn_prefill,513,1,85.8173
gdn_prefill,513,2,85.8668
gdn_prefill,513,4,85.1778
gdn_prefill,513,8,85.6292
gdn_prefill,513,16,85.2589
gdn_prefill,513,32,89.4513
gdn_prefill,513,64,95.6661
gdn_prefill,513,128,93.4018
gdn_prefill,1024,0,139.649
gdn_prefill,1024,1,139.655
gdn_prefill,1024,2,137.555
gdn_prefill,1024,4,139.219
gdn_prefill,1024,8,139.848
gdn_prefill,1024,16,138.899
gdn_prefill,1024,32,145.234
gdn_prefill,1024,64,150.187
gdn_prefill,1024,128,148.993
gdn_prefill,1025,0,141.832
gdn_prefill,1025,1,141.889
gdn_prefill,1025,2,141.394
gdn_prefill,1025,4,142.657
gdn_prefill,1025,8,144.136
gdn_prefill,1025,16,141.779
gdn_prefill,1025,32,149.732
gdn_prefill,1025,64,153.007
gdn_prefill,1025,128,153.977
gdn_prefill,2048,0,266.056
gdn_prefill,2048,1,264.563
gdn_prefill,2048,2,264.883
gdn_prefill,2048,4,265.267
gdn_prefill,2048,8,268.869
gdn_prefill,2048,16,277.079
gdn_prefill,2048,32,285.228
gdn_prefill,2048,64,285.616
gdn_prefill,2048,128,286.761
