layer,pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
attention,128,n<=64,sr<=70%,kvB<=16k,kp=0,1.568,2
attention,128,n<=64,sr<=70%,kvB<=1k,kp<=1k,0.0489,2
attention,128,n<=64,sr<=70%,kvB<=1k,kp<=2k,0.0547,2
attention,128,n<=64,sr<=70%,kvB<=1k,kp<=4k,0.0396,2
attention,128,n<=64,sr<=70%,kvB<=1k,kp<=512,0.055,2
attention,128,n<=64,sr<=70%,kvB<=1k,kp<=8k,0.0428,2
attention,128,n<=64,sr<=70%,kvB<=1k,kp=0,0.0647,2
attention,128,n<=64,sr<=70%,kvB<=4k,kp<=1k,0.0042,2
attention,128,n<=64,sr<=70%,kvB<=4k,kp<=2k,-0.0056,2
attention,128,n<=64,sr<=70%,kvB<=4k,kp<=4k,-0.012,2
attention,128,n<=64,sr<=70%,kvB<=4k,kp<=512,0.004,2
attention,128,n<=64,sr<=70%,kvB<=4k,kp<=8k,0.0007,2
attention,128,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0005,2
attention,128,n<=64,sr>70%,kvB<=16k,kp<=1k,4.9305,4
attention,128,n<=64,sr>70%,kvB<=16k,kp<=2k,4.4526,4
attention,128,n<=64,sr>70%,kvB<=16k,kp<=4k,1.2367,4
attention,128,n<=64,sr>70%,kvB<=16k,kp<=512,4.8969,4
attention,128,n<=64,sr>70%,kvB<=16k,kp<=8k,1.586,4
attention,128,n<=64,sr>70%,kvB<=16k,kp=0,4.8785,4
attention,128,n<=64,sr>70%,kvB<=1k,kp<=1k,0.2692,4
attention,128,n<=64,sr>70%,kvB<=1k,kp<=2k,0.2758,4
attention,128,n<=64,sr>70%,kvB<=1k,kp<=4k,0.2589,4
attention,128,n<=64,sr>70%,kvB<=1k,kp<=512,0.2734,4
attention,128,n<=64,sr>70%,kvB<=1k,kp<=8k,0.2618,4
attention,128,n<=64,sr>70%,kvB<=1k,kp=0,0.2934,4
attention,128,n<=64,sr>70%,kvB<=4k,kp<=1k,-0.1062,4
attention,128,n<=64,sr>70%,kvB<=4k,kp<=2k,-0.077,4
attention,128,n<=64,sr>70%,kvB<=4k,kp<=4k,-0.1802,4
attention,128,n<=64,sr>70%,kvB<=4k,kp<=512,-0.1248,4
attention,128,n<=64,sr>70%,kvB<=4k,kp<=8k,-0.0574,4
attention,128,n<=64,sr>70%,kvB<=4k,kp=0,-0.1413,4
attention,128,n<=8,sr<=15%,kvB<=16k,kp<=1k,0.3011,2
attention,128,n<=8,sr<=15%,kvB<=16k,kp<=2k,0.2704,2
attention,128,n<=8,sr<=15%,kvB<=16k,kp<=4k,0.2261,2
attention,128,n<=8,sr<=15%,kvB<=16k,kp<=512,0.314,2
attention,128,n<=8,sr<=15%,kvB<=16k,kp<=8k,0.1787,2
attention,128,n<=8,sr<=15%,kvB<=16k,kp=0,0.3315,2
attention,128,n<=8,sr<=15%,kvB<=1k,kp<=1k,0.0688,2
attention,128,n<=8,sr<=15%,kvB<=1k,kp<=2k,0.0859,2
attention,128,n<=8,sr<=15%,kvB<=1k,kp<=4k,0.0805,2
attention,128,n<=8,sr<=15%,kvB<=1k,kp<=512,0.2645,2
attention,128,n<=8,sr<=15%,kvB<=1k,kp<=8k,0.0694,2
attention,128,n<=8,sr<=15%,kvB<=1k,kp=0,0.3526,2
attention,128,n<=8,sr<=15%,kvB<=4k,kp<=1k,0.2296,2
attention,128,n<=8,sr<=15%,kvB<=4k,kp<=2k,0.184,2
attention,128,n<=8,sr<=15%,kvB<=4k,kp<=4k,-0.0266,2
attention,128,n<=8,sr<=15%,kvB<=4k,kp<=512,0.2708,2
attention,128,n<=8,sr<=15%,kvB<=4k,kp<=8k,-0.0436,2
attention,128,n<=8,sr<=15%,kvB<=4k,kp=0,0.3328,2
attention,128,n<=8,sr<=40%,kvB<=16k,kp<=1k,0.3114,4
attention,128,n<=8,sr<=40%,kvB<=16k,kp<=2k,0.3037,4
attention,128,n<=8,sr<=40%,kvB<=16k,kp<=4k,0.251,4
attention,128,n<=8,sr<=40%,kvB<=16k,kp<=512,0.2915,4
attention,128,n<=8,sr<=40%,kvB<=16k,kp<=8k,0.2056,4
attention,128,n<=8,sr<=40%,kvB<=16k,kp=0,0.2678,4
attention,128,n<=8,sr<=40%,kvB<=1k,kp<=1k,0.1299,4
attention,128,n<=8,sr<=40%,kvB<=1k,kp<=2k,0.1124,4
attention,128,n<=8,sr<=40%,kvB<=1k,kp<=4k,0.0398,4
attention,128,n<=8,sr<=40%,kvB<=1k,kp<=512,0.22,4
attention,128,n<=8,sr<=40%,kvB<=1k,kp<=8k,0.0294,4
attention,128,n<=8,sr<=40%,kvB<=1k,kp=0,0.3392,4
attention,128,n<=8,sr<=40%,kvB<=4k,kp<=1k,0.24,4
attention,128,n<=8,sr<=40%,kvB<=4k,kp<=2k,0.2038,4
attention,128,n<=8,sr<=40%,kvB<=4k,kp<=4k,0.0918,4
attention,128,n<=8,sr<=40%,kvB<=4k,kp<=512,0.278,4
attention,128,n<=8,sr<=40%,kvB<=4k,kp<=8k,0.0104,4
attention,128,n<=8,sr<=40%,kvB<=4k,kp=0,0.3212,4
attention,128,n<=8,sr<=70%,kvB<=16k,kp<=1k,0.2698,2
attention,128,n<=8,sr<=70%,kvB<=16k,kp<=2k,0.2878,2
attention,128,n<=8,sr<=70%,kvB<=16k,kp<=4k,0.2552,2
attention,128,n<=8,sr<=70%,kvB<=16k,kp<=512,0.2894,2
attention,128,n<=8,sr<=70%,kvB<=16k,kp<=8k,0.096,2
attention,128,n<=8,sr<=70%,kvB<=16k,kp=0,0.2995,2
attention,128,n<=8,sr<=70%,kvB<=1k,kp<=1k,0.0536,2
attention,128,n<=8,sr<=70%,kvB<=1k,kp<=2k,0.0786,2
attention,128,n<=8,sr<=70%,kvB<=1k,kp<=4k,-0.025,2
attention,128,n<=8,sr<=70%,kvB<=1k,kp<=512,0.2292,2
attention,128,n<=8,sr<=70%,kvB<=1k,kp<=8k,-0.0545,2
attention,128,n<=8,sr<=70%,kvB<=1k,kp=0,0.3359,2
attention,128,n<=8,sr<=70%,kvB<=4k,kp<=1k,0.278,2
attention,128,n<=8,sr<=70%,kvB<=4k,kp<=2k,0.1144,2
attention,128,n<=8,sr<=70%,kvB<=4k,kp<=4k,0.023,2
attention,128,n<=8,sr<=70%,kvB<=4k,kp<=512,0.301,2
attention,128,n<=8,sr<=70%,kvB<=4k,kp<=8k,-0.3845,2
attention,128,n<=8,sr<=70%,kvB<=4k,kp=0,0.2844,2
attention,128,n<=8,sr>70%,kvB<=16k,kp<=1k,0.7814,4
attention,128,n<=8,sr>70%,kvB<=16k,kp<=2k,0.6596,4
attention,128,n<=8,sr>70%,kvB<=16k,kp<=4k,0.4524,4
attention,128,n<=8,sr>70%,kvB<=16k,kp<=512,0.8248,4
attention,128,n<=8,sr>70%,kvB<=16k,kp<=8k,0.0064,4
attention,128,n<=8,sr>70%,kvB<=16k,kp=0,0.8137,4
attention,128,n<=8,sr>70%,kvB<=1k,kp<=1k,0.2798,4
attention,128,n<=8,sr>70%,kvB<=1k,kp<=2k,0.4949,4
attention,128,n<=8,sr>70%,kvB<=1k,kp<=4k,0.1858,4
attention,128,n<=8,sr>70%,kvB<=1k,kp<=512,0.2736,4
attention,128,n<=8,sr>70%,kvB<=1k,kp<=8k,-0.1046,4
attention,128,n<=8,sr>70%,kvB<=1k,kp=0,0.6094,4
attention,128,n<=8,sr>70%,kvB<=4k,kp<=1k,0.4056,4
attention,128,n<=8,sr>70%,kvB<=4k,kp<=2k,0.0346,4
attention,128,n<=8,sr>70%,kvB<=4k,kp<=4k,-0.0216,4
attention,128,n<=8,sr>70%,kvB<=4k,kp<=512,0.5819,4
attention,128,n<=8,sr>70%,kvB<=4k,kp<=8k,0.6555,4
attention,128,n<=8,sr>70%,kvB<=4k,kp=0,0.7885,4
attention,256,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.1054,4
attention,256,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0754,4
attention,256,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.0751,4
attention,256,n<=128,sr<=15%,kvB<=16k,kp<=512,0.1048,4
attention,256,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0541,4
attention,256,n<=128,sr<=15%,kvB<=16k,kp=0,0.1172,8
attention,256,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0643,4
attention,256,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0617,4
attention,256,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0683,4
attention,256,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0632,4
attention,256,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0653,4
attention,256,n<=128,sr<=15%,kvB<=1k,kp=0,0.0795,9
attention,256,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0086,4
attention,256,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0063,4
attention,256,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0047,4
attention,256,n<=128,sr<=15%,kvB<=4k,kp<=512,0.008,4
attention,256,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0003,4
attention,256,n<=128,sr<=15%,kvB<=4k,kp=0,0.0091,8
attention,256,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.1799,2
attention,256,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.0818,2
attention,256,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.0526,2
attention,256,n<=128,sr<=40%,kvB<=16k,kp<=512,0.1851,2
attention,256,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.1603,2
attention,256,n<=128,sr<=40%,kvB<=16k,kp=0,0.183,2
attention,256,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.1019,2
attention,256,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.095,2
attention,256,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.1004,2
attention,256,n<=128,sr<=40%,kvB<=1k,kp<=512,0.1012,2
attention,256,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0959,2
attention,256,n<=128,sr<=40%,kvB<=1k,kp=0,0.1091,2
attention,256,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0224,2
attention,256,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0249,2
attention,256,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.026,2
attention,256,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0171,2
attention,256,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0109,2
attention,256,n<=128,sr<=40%,kvB<=4k,kp=0,-0.019,2
attention,256,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0153,8
attention,256,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0476,8
attention,256,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0134,8
attention,256,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0146,8
attention,256,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0195,8
attention,256,n<=128,sr<=5%,kvB<=16k,kp=0,0.0147,8
attention,256,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0117,8
attention,256,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0087,8
attention,256,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0092,8
attention,256,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0103,8
attention,256,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0131,8
attention,256,n<=128,sr<=5%,kvB<=1k,kp=0,0.017,8
attention,256,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0112,8
attention,256,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.011,8
attention,256,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0083,8
attention,256,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0112,8
attention,256,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0044,8
attention,256,n<=128,sr<=5%,kvB<=4k,kp=0,0.0101,8
attention,256,n<=128,sr<=70%,kvB<=16k,kp<=1k,0.2781,2
attention,256,n<=128,sr<=70%,kvB<=16k,kp<=2k,0.0981,2
attention,256,n<=128,sr<=70%,kvB<=16k,kp<=4k,0.1062,2
attention,256,n<=128,sr<=70%,kvB<=16k,kp<=512,0.2977,2
attention,256,n<=128,sr<=70%,kvB<=16k,kp<=8k,0.0892,2
attention,256,n<=128,sr<=70%,kvB<=16k,kp=0,0.2477,6
attention,256,n<=128,sr<=70%,kvB<=1k,kp<=1k,0.0372,2
attention,256,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.048,2
attention,256,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0212,2
attention,256,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0259,2
attention,256,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0411,2
attention,256,n<=128,sr<=70%,kvB<=1k,kp=0,0.04,7
attention,256,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0711,2
attention,256,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0568,2
attention,256,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.0465,2
attention,256,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.1066,2
attention,256,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.1807,2
attention,256,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0889,6
attention,256,n<=128,sr>70%,kvB<=16k,kp<=1k,0.39,4
attention,256,n<=128,sr>70%,kvB<=16k,kp<=2k,0.1687,4
attention,256,n<=128,sr>70%,kvB<=16k,kp<=4k,0.0496,4
attention,256,n<=128,sr>70%,kvB<=16k,kp<=512,0.3147,4
attention,256,n<=128,sr>70%,kvB<=16k,kp<=8k,0.3055,4
attention,256,n<=128,sr>70%,kvB<=16k,kp=0,0.4092,4
attention,256,n<=128,sr>70%,kvB<=1k,kp<=1k,0.315,4
attention,256,n<=128,sr>70%,kvB<=1k,kp<=2k,0.3081,4
attention,256,n<=128,sr>70%,kvB<=1k,kp<=4k,0.2224,4
attention,256,n<=128,sr>70%,kvB<=1k,kp<=512,0.2969,4
attention,256,n<=128,sr>70%,kvB<=1k,kp<=8k,0.2726,4
attention,256,n<=128,sr>70%,kvB<=1k,kp=0,0.2739,4
attention,256,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.6435,4
attention,256,n<=128,sr>70%,kvB<=4k,kp<=2k,-0.6459,4
attention,256,n<=128,sr>70%,kvB<=4k,kp<=4k,-0.6003,4
attention,256,n<=128,sr>70%,kvB<=4k,kp<=512,-0.599,4
attention,256,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.5629,4
attention,256,n<=128,sr>70%,kvB<=4k,kp=0,-0.5658,4
attention,256,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.1424,4
attention,256,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.1454,4
attention,256,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.1422,4
attention,256,n<=16,sr<=15%,kvB<=16k,kp<=512,0.1385,4
attention,256,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.0789,4
attention,256,n<=16,sr<=15%,kvB<=16k,kp=0,0.1328,4
attention,256,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0738,4
attention,256,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0714,4
attention,256,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0758,4
attention,256,n<=16,sr<=15%,kvB<=1k,kp<=512,0.1208,4
attention,256,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0331,4
attention,256,n<=16,sr<=15%,kvB<=1k,kp=0,0.2045,4
attention,256,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.1544,4
attention,256,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.093,4
attention,256,n<=16,sr<=15%,kvB<=4k,kp<=4k,-0.0075,4
attention,256,n<=16,sr<=15%,kvB<=4k,kp<=512,0.1576,4
attention,256,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.0002,4
attention,256,n<=16,sr<=15%,kvB<=4k,kp=0,0.1563,4
attention,256,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.1267,4
attention,256,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.1323,4
attention,256,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.1415,4
attention,256,n<=16,sr<=40%,kvB<=16k,kp<=512,0.1189,4
attention,256,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.1093,4
attention,256,n<=16,sr<=40%,kvB<=16k,kp=0,0.1126,4
attention,256,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.0757,4
attention,256,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.0772,4
attention,256,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.0873,4
attention,256,n<=16,sr<=40%,kvB<=1k,kp<=512,0.1242,4
attention,256,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.0632,4
attention,256,n<=16,sr<=40%,kvB<=1k,kp=0,0.198,4
attention,256,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.1382,4
attention,256,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.1116,4
attention,256,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.0032,4
attention,256,n<=16,sr<=40%,kvB<=4k,kp<=512,0.1469,4
attention,256,n<=16,sr<=40%,kvB<=4k,kp<=8k,-0.0078,4
attention,256,n<=16,sr<=40%,kvB<=4k,kp=0,0.1401,4
attention,256,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.0968,2
attention,256,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.1124,2
attention,256,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.1171,2
attention,256,n<=16,sr<=70%,kvB<=16k,kp<=512,0.0907,2
attention,256,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.1196,2
attention,256,n<=16,sr<=70%,kvB<=16k,kp=0,0.0901,2
attention,256,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.0481,2
attention,256,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.0371,2
attention,256,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.016,2
attention,256,n<=16,sr<=70%,kvB<=1k,kp<=512,0.181,2
attention,256,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.0164,2
attention,256,n<=16,sr<=70%,kvB<=1k,kp=0,0.1792,2
attention,256,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.1423,2
attention,256,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.1366,2
attention,256,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.0714,2
attention,256,n<=16,sr<=70%,kvB<=4k,kp<=512,0.1209,2
attention,256,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.13,2
attention,256,n<=16,sr<=70%,kvB<=4k,kp=0,0.1193,2
attention,256,n<=16,sr>70%,kvB<=16k,kp<=1k,0.0449,4
attention,256,n<=16,sr>70%,kvB<=16k,kp<=2k,0.0862,4
attention,256,n<=16,sr>70%,kvB<=16k,kp<=4k,0.1173,4
attention,256,n<=16,sr>70%,kvB<=16k,kp<=512,0.0175,4
attention,256,n<=16,sr>70%,kvB<=16k,kp<=8k,0.0844,4
attention,256,n<=16,sr>70%,kvB<=16k,kp=0,0.0005,4
attention,256,n<=16,sr>70%,kvB<=1k,kp<=1k,0.2894,4
attention,256,n<=16,sr>70%,kvB<=1k,kp<=2k,0.2372,4
attention,256,n<=16,sr>70%,kvB<=1k,kp<=4k,0.1876,4
attention,256,n<=16,sr>70%,kvB<=1k,kp<=512,0.3528,4
attention,256,n<=16,sr>70%,kvB<=1k,kp<=8k,0.3979,4
attention,256,n<=16,sr>70%,kvB<=1k,kp=0,0.3442,4
attention,256,n<=16,sr>70%,kvB<=4k,kp<=1k,0.1516,4
attention,256,n<=16,sr>70%,kvB<=4k,kp<=2k,0.1154,4
attention,256,n<=16,sr>70%,kvB<=4k,kp<=4k,0.2114,4
attention,256,n<=16,sr>70%,kvB<=4k,kp<=512,0.1433,4
attention,256,n<=16,sr>70%,kvB<=4k,kp<=8k,0.0434,4
attention,256,n<=16,sr>70%,kvB<=4k,kp=0,0.0735,4
attention,256,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.956,2
attention,256,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.9536,2
attention,256,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.8601,2
attention,256,n<=2,sr<=70%,kvB<=16k,kp<=512,0.9782,2
attention,256,n<=2,sr<=70%,kvB<=16k,kp<=8k,0.2257,2
attention,256,n<=2,sr<=70%,kvB<=16k,kp=0,0.9607,6
attention,256,n<=2,sr<=70%,kvB<=1k,kp<=1k,-0.0578,2
attention,256,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.1015,2
attention,256,n<=2,sr<=70%,kvB<=1k,kp<=4k,0.1442,2
attention,256,n<=2,sr<=70%,kvB<=1k,kp<=512,0.174,2
attention,256,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.1448,1
attention,256,n<=2,sr<=70%,kvB<=1k,kp=0,0.7523,7
attention,256,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.7812,2
attention,256,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.2606,2
attention,256,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.0228,2
attention,256,n<=2,sr<=70%,kvB<=4k,kp<=512,0.86,2
attention,256,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.4957,1
attention,256,n<=2,sr<=70%,kvB<=4k,kp=0,0.9291,6
attention,256,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.0687,6
attention,256,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.0629,6
attention,256,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0381,6
attention,256,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0728,6
attention,256,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.0296,6
attention,256,n<=32,sr<=15%,kvB<=16k,kp=0,0.0766,10
attention,256,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0699,6
attention,256,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0737,6
attention,256,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.075,6
attention,256,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0906,6
attention,256,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0795,6
attention,256,n<=32,sr<=15%,kvB<=1k,kp=0,0.1411,11
attention,256,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.0721,6
attention,256,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0491,6
attention,256,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.0112,6
attention,256,n<=32,sr<=15%,kvB<=4k,kp<=512,0.0834,6
attention,256,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0176,6
attention,256,n<=32,sr<=15%,kvB<=4k,kp=0,0.0857,10
attention,256,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.0651,2
attention,256,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.044,2
attention,256,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.046,2
attention,256,n<=32,sr<=40%,kvB<=16k,kp<=512,0.0689,2
attention,256,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.0328,2
attention,256,n<=32,sr<=40%,kvB<=16k,kp=0,0.0756,2
attention,256,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.104,2
attention,256,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.1201,2
attention,256,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.1237,2
attention,256,n<=32,sr<=40%,kvB<=1k,kp<=512,0.1252,2
attention,256,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.1033,2
attention,256,n<=32,sr<=40%,kvB<=1k,kp=0,0.1688,2
attention,256,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.0578,2
attention,256,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.0281,2
attention,256,n<=32,sr<=40%,kvB<=4k,kp<=4k,-0.0099,2
attention,256,n<=32,sr<=40%,kvB<=4k,kp<=512,0.0652,2
attention,256,n<=32,sr<=40%,kvB<=4k,kp<=8k,0.0068,2
attention,256,n<=32,sr<=40%,kvB<=4k,kp=0,0.0666,2
attention,256,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.0736,2
attention,256,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.0659,2
attention,256,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.036,2
attention,256,n<=32,sr<=5%,kvB<=16k,kp<=512,0.0748,2
attention,256,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.0367,2
attention,256,n<=32,sr<=5%,kvB<=16k,kp=0,0.0818,2
attention,256,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.0222,2
attention,256,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0225,2
attention,256,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.0197,2
attention,256,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0394,2
attention,256,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0066,2
attention,256,n<=32,sr<=5%,kvB<=1k,kp=0,0.0875,2
attention,256,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.0838,2
attention,256,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0571,2
attention,256,n<=32,sr<=5%,kvB<=4k,kp<=4k,0.0284,2
attention,256,n<=32,sr<=5%,kvB<=4k,kp<=512,0.094,2
attention,256,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.0235,2
attention,256,n<=32,sr<=5%,kvB<=4k,kp=0,0.0974,2
attention,256,n<=32,sr<=70%,kvB<=16k,kp<=1k,0.2479,2
attention,256,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.1621,2
attention,256,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.0076,2
attention,256,n<=32,sr<=70%,kvB<=16k,kp<=512,0.2549,2
attention,256,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.1111,2
attention,256,n<=32,sr<=70%,kvB<=16k,kp=0,0.1937,6
attention,256,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.053,2
attention,256,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.0459,2
attention,256,n<=32,sr<=70%,kvB<=1k,kp<=4k,0.0501,2
attention,256,n<=32,sr<=70%,kvB<=1k,kp<=512,0.0802,2
attention,256,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.0653,2
attention,256,n<=32,sr<=70%,kvB<=1k,kp=0,0.1243,7
attention,256,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.0522,2
attention,256,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.0266,2
attention,256,n<=32,sr<=70%,kvB<=4k,kp<=4k,-0.0195,2
attention,256,n<=32,sr<=70%,kvB<=4k,kp<=512,0.0451,2
attention,256,n<=32,sr<=70%,kvB<=4k,kp<=8k,-0.0042,2
attention,256,n<=32,sr<=70%,kvB<=4k,kp=0,0.0726,6
attention,256,n<=32,sr>70%,kvB<=16k,kp<=1k,1.7684,4
attention,256,n<=32,sr>70%,kvB<=16k,kp<=2k,1.2342,4
attention,256,n<=32,sr>70%,kvB<=16k,kp<=4k,0.2553,4
attention,256,n<=32,sr>70%,kvB<=16k,kp<=512,1.776,4
attention,256,n<=32,sr>70%,kvB<=16k,kp<=8k,1.0683,4
attention,256,n<=32,sr>70%,kvB<=16k,kp=0,1.5711,4
attention,256,n<=32,sr>70%,kvB<=1k,kp<=1k,0.2495,4
attention,256,n<=32,sr>70%,kvB<=1k,kp<=2k,0.2775,4
attention,256,n<=32,sr>70%,kvB<=1k,kp<=4k,0.282,4
