layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,16,64,1,16,1,1533.79
attention,16,64,1,32,1,1531.95
attention,16,64,1,64,1,1529.27
attention,16,64,1,128,1,1528.06
attention,16,64,1,256,1,1522.24
attention,16,64,1,512,1,1515.51
attention,16,64,1,1024,1,1490.73
attention,16,64,1,2048,1,1443.41
attention,16,64,1,4096,1,1443.99
attention,16,64,1,8192,1,1443.88
attention,16,64,1,16384,1,1443.11
attention,16,64,2,16,1,1629.65
attention,16,64,2,32,1,1626.26
attention,16,64,2,64,1,1624.39
attention,16,64,2,128,1,1622.91
attention,16,64,2,256,1,1607.34
attention,16,64,2,512,1,1583.47
attention,16,64,2,1024,1,1532.69
attention,16,64,2,2048,1,1453.05
attention,16,64,2,4096,1,1452.83
attention,16,64,2,8192,1,1451.98
attention,16,64,2,16384,1,1452.66
attention,16,64,4,16,1,1813.83
attention,16,64,4,32,1,1804.69
attention,16,64,4,64,1,1788.99
attention,16,64,4,128,1,1775.15
attention,16,64,4,256,1,1738.92
attention,16,64,4,512,1,1706.21
attention,16,64,4,1024,1,1629.72
attention,16,64,4,2048,1,1463.26
attention,16,64,4,4096,1,1463
attention,16,64,4,8192,1,1462.13
attention,16,64,4,16384,1,1461.67
attention,16,64,8,16,1,2157.21
attention,16,64,8,32,1,2167.55
attention,16,64,8,64,1,2137.43
attention,16,64,8,128,1,2094.24
attention,16,64,8,256,1,2048.33
attention,16,64,8,512,1,1967.08
attention,16,64,8,1024,1,1810.4
attention,16,64,8,2048,1,1483.16
attention,16,64,8,4096,1,1483.69
attention,16,64,8,8192,1,1483.54
attention,16,64,8,16384,1,1481.93
attention,16,64,16,16,1,2793.67
attention,16,64,16,32,1,2858.83
attention,16,64,16,64,1,2796.96
attention,16,64,16,128,1,2712
attention,16,64,16,256,1,2657.44
attention,16,64,16,512,1,2484.84
attention,16,64,16,1024,1,2147.96
attention,16,64,16,2048,1,1504.81
attention,16,64,16,4096,1,1504.11
attention,16,64,16,8192,1,1505.4
attention,16,64,16,16384,1,1511.28
attention,16,64,32,16,1,4173.29
attention,16,64,32,32,1,4242.49
attention,16,64,32,64,1,4212.21
attention,16,64,32,128,1,4012.32
attention,16,64,32,256,1,3921.99
attention,16,64,32,512,1,3570.3
attention,16,64,32,1024,1,2874.46
attention,16,64,32,2048,1,1571.54
attention,16,64,32,4096,1,1571.64
attention,16,64,32,8192,1,1582.89
attention,16,64,32,16384,1,1600.95
attention,16,64,64,16,1,2299.33
attention,16,64,64,32,1,2162.68
attention,16,64,64,64,1,2264.28
attention,16,64,64,128,1,2224.45
attention,16,64,64,256,1,2136.9
attention,16,64,64,512,1,1928.43
attention,16,64,64,1024,1,1512.01
attention,16,64,64,2048,1,697.506
attention,16,64,64,4096,1,704.986
attention,16,64,64,8192,1,719.648
attention,16,64,64,16384,1,722.145
attention,16,64,128,16,1,3931.77
attention,16,64,128,32,1,3906.76
attention,16,64,128,64,1,4061.24
attention,16,64,128,128,1,3818.25
attention,16,64,128,256,1,3793.77
attention,16,64,128,512,1,3390.57
attention,16,64,128,1024,1,2522.45
attention,16,64,128,2048,1,1311.61
attention,16,64,128,4096,1,1320.96
attention,16,64,128,8192,1,1318.55
attention,16,64,128,16384,1,1319.93
attention,16,128,0,0,1,1418.66
attention,16,128,1,16,1,1497.2
attention,16,128,1,32,1,1497.83
attention,16,128,1,64,1,1495.97
attention,16,128,1,128,1,1500.23
attention,16,128,1,256,1,1493.01
attention,16,128,1,512,1,1474.11
attention,16,128,1,1024,1,1443.92
attention,16,128,1,2048,1,1418.34
attention,16,128,1,4096,1,1418.18
attention,16,128,1,8192,1,1418.73
attention,16,128,1,16384,1,1418.64
attention,16,128,2,16,1,1571.55
attention,16,128,2,32,1,1570.69
attention,16,128,2,64,1,1572.41
attention,16,128,2,128,1,1577.09
attention,16,128,2,256,1,1560.22
attention,16,128,2,512,1,1527.73
attention,16,128,2,1024,1,1501.09
attention,16,128,2,2048,1,1422.75
attention,16,128,2,4096,1,1422.35
attention,16,128,2,8192,1,1423.44
attention,16,128,2,16384,1,1423.28
attention,16,128,4,16,1,1740.16
attention,16,128,4,32,1,1743.23
attention,16,128,4,64,1,1728.83
attention,16,128,4,128,1,1737.19
attention,16,128,4,256,1,1699.68
attention,16,128,4,512,1,1677.79
attention,16,128,4,1024,1,1589.85
attention,16,128,4,2048,1,1427.18
attention,16,128,4,4096,1,1426.48
attention,16,128,4,8192,1,1426.21
attention,16,128,4,16384,1,1425.98
attention,16,128,8,16,1,2102.76
attention,16,128,8,32,1,2081.63
attention,16,128,8,64,1,2065.68
attention,16,128,8,128,1,2069.25
attention,16,128,8,256,1,2009.55
attention,16,128,8,512,1,1927.61
attention,16,128,8,1024,1,1758.67
attention,16,128,8,2048,1,1451.11
attention,16,128,8,4096,1,1451.11
attention,16,128,8,8192,1,1450.5
attention,16,128,8,16384,1,1449.31
attention,16,128,16,16,1,2818.82
attention,16,128,16,32,1,2750.28
attention,16,128,16,64,1,2733.3
attention,16,128,16,128,1,2725.53
attention,16,128,16,256,1,2617.99
attention,16,128,16,512,1,2435.23
attention,16,128,16,1024,1,2111.47
attention,16,128,16,2048,1,1467.37
attention,16,128,16,4096,1,1466.44
attention,16,128,16,8192,1,1466.93
attention,16,128,16,16384,1,1473.34
attention,16,128,32,16,1,4088.73
attention,16,128,32,32,1,4123.7
attention,16,128,32,64,1,4136.06
attention,16,128,32,128,1,4100.27
attention,16,128,32,256,1,3900.46
attention,16,128,32,512,1,3540.92
attention,16,128,32,1024,1,2839.86
attention,16,128,32,2048,1,1539.21
attention,16,128,32,4096,1,1548.28
attention,16,128,32,8192,1,1553.35
attention,16,128,32,16384,1,1570.34
attention,16,128,64,16,1,2286.74
attention,16,128,64,32,1,2151.78
attention,16,128,64,64,1,2209.81
attention,16,128,64,128,1,2239.26
attention,16,128,64,256,1,2136.32
attention,16,128,64,512,1,1928.46
attention,16,128,64,1024,1,1489.25
attention,16,128,64,2048,1,696.537
attention,16,128,64,4096,1,705.073
attention,16,128,64,8192,1,721.337
attention,16,128,64,16384,1,722.144
attention,16,128,128,16,1,4112.58
attention,16,128,128,32,1,3967.62
attention,16,128,128,64,1,3891.45
attention,16,128,128,128,1,3991.44
attention,16,128,128,256,1,3565.74
attention,16,128,128,512,1,3338.21
attention,16,128,128,1024,1,2513.73
attention,16,128,128,2048,1,1310.55
attention,16,128,128,4096,1,1319.99
attention,16,128,128,8192,1,1319.51
attention,16,128,128,16384,1,1318.82
attention,16,256,0,0,1,1348.93
attention,16,256,1,16,1,1415.03
attention,16,256,1,32,1,1414.92
attention,16,256,1,64,1,1414.17
attention,16,256,1,128,1,1417.87
attention,16,256,1,256,1,1403.96
attention,16,256,1,512,1,1393.1
attention,16,256,1,1024,1,1367.19
attention,16,256,1,2048,1,1319.77
attention,16,256,1,4096,1,1320.41
attention,16,256,1,8192,1,1319.9
attention,16,256,1,16384,1,1319.8
attention,16,256,2,16,1,1494.31
attention,16,256,2,32,1,1490.68
attention,16,256,2,64,1,1489.53
attention,16,256,2,128,1,1483.76
attention,16,256,2,256,1,1484.89
attention,16,256,2,512,1,1452.69
attention,16,256,2,1024,1,1410.03
attention,16,256,2,2048,1,1324.87
attention,16,256,2,4096,1,1324.04
attention,16,256,2,8192,1,1324.63
attention,16,256,2,16384,1,1324.74
attention,16,256,4,16,1,1684.72
attention,16,256,4,32,1,1674.66
attention,16,256,4,64,1,1675.63
attention,16,256,4,128,1,1641.94
attention,16,256,4,256,1,1629.11
attention,16,256,4,512,1,1578.16
attention,16,256,4,1024,1,1503.43
attention,16,256,4,2048,1,1344.15
attention,16,256,4,4096,1,1344.21
attention,16,256,4,8192,1,1344.45
attention,16,256,4,16384,1,1343.09
attention,16,256,8,16,1,2012.69
attention,16,256,8,32,1,2033.58
attention,16,256,8,64,1,2004.98
attention,16,256,8,128,1,1998.37
attention,16,256,8,256,1,1932.84
attention,16,256,8,512,1,1846.72
attention,16,256,8,1024,1,1674.21
attention,16,256,8,2048,1,1361.24
attention,16,256,8,4096,1,1361.43
attention,16,256,8,8192,1,1360.19
attention,16,256,8,16384,1,1358.99
attention,16,256,16,16,1,2688.93
attention,16,256,16,32,1,2685.83
attention,16,256,16,64,1,2688.03
attention,16,256,16,128,1,2589.37
attention,16,256,16,256,1,2538.4
attention,16,256,16,512,1,2348.43
attention,16,256,16,1024,1,2026.14
attention,16,256,16,2048,1,1378.18
attention,16,256,16,4096,1,1378.4
attention,16,256,16,8192,1,1380.48
attention,16,256,16,16384,1,1384.94
attention,16,256,32,16,1,3934.03
attention,16,256,32,32,1,4017.51
attention,16,256,32,64,1,3922.49
attention,16,256,32,128,1,3904.78
attention,16,256,32,256,1,3872.94
attention,16,256,32,512,1,3466.97
attention,16,256,32,1024,1,2777.25
attention,16,256,32,2048,1,1487.93
attention,16,256,32,4096,1,1492.04
attention,16,256,32,8192,1,1498.7
attention,16,256,32,16384,1,1515.26
attention,16,256,64,16,1,2259.53
attention,16,256,64,32,1,2245.89
attention,16,256,64,64,1,2204.93
attention,16,256,64,128,1,2212.7
attention,16,256,64,256,1,2137
attention,16,256,64,512,1,1928.75
attention,16,256,64,1024,1,1512.04
attention,16,256,64,2048,1,696.793
attention,16,256,64,4096,1,703.951
attention,16,256,64,8192,1,720.288
attention,16,256,64,16384,1,722.033
attention,16,256,128,16,1,4084.53
attention,16,256,128,32,1,3900.13
attention,16,256,128,64,1,3805.81
attention,16,256,128,128,1,3876.94
attention,16,256,128,256,1,3569.26
attention,16,256,128,512,1,3352.18
attention,16,256,128,1024,1,2599.26
attention,16,256,128,2048,1,1310.15
attention,16,256,128,4096,1,1322.42
attention,16,256,128,8192,1,1319.08
attention,16,256,128,16384,1,1319.15
attention,16,512,0,0,1,1197.88
attention,16,512,1,16,1,1246.72
attention,16,512,1,32,1,1245.56
attention,16,512,1,64,1,1244.24
attention,16,512,1,128,1,1239.74
attention,16,512,1,256,1,1232.31
attention,16,512,1,512,1,1228.15
attention,16,512,1,1024,1,1200.14
attention,16,512,1,2048,1,1164.67
