layer,prefill_chunk,kv_prefill,n_decode,kv_decode,decode_q_len,time_us
attention,0,0,8,8192,9,290.679
attention,0,0,8,16384,1,119.915
attention,0,0,8,16384,2,154.956
attention,0,0,8,16384,3,245.953
attention,0,0,8,16384,5,289.109
attention,0,0,8,16384,9,291.798
attention,0,0,8,32768,1,120.033
attention,0,0,8,32768,2,155.734
attention,0,0,8,32768,3,248.363
attention,0,0,8,32768,5,292.012
attention,0,0,8,32768,9,293.762
attention,0,0,8,65536,1,117.793
attention,0,0,8,65536,2,160.502
attention,0,0,8,65536,3,252.406
attention,0,0,8,65536,5,294.827
attention,0,0,8,65536,9,296.215
attention,0,0,8,131072,1,117.804
attention,0,0,8,131072,2,165.835
attention,0,0,8,131072,3,251.276
attention,0,0,8,131072,5,293.741
attention,0,0,8,131072,9,293.165
attention,0,0,8,163830,1,117.409
attention,0,0,8,163830,2,162.391
attention,0,0,8,163830,3,248.352
attention,0,0,8,163830,5,289.782
attention,0,0,8,163830,9,291.469
attention,0,0,16,16,1,978.02
attention,0,0,16,16,2,1797.44
attention,0,0,16,16,3,2904.85
attention,0,0,16,16,5,1404.74
attention,0,0,16,16,9,2511.11
attention,0,0,16,32,1,980.474
attention,0,0,16,32,2,1783.27
attention,0,0,16,32,3,2868.88
attention,0,0,16,32,5,1395.89
attention,0,0,16,32,9,2491.36
attention,0,0,16,64,1,954.83
attention,0,0,16,64,2,1756.81
attention,0,0,16,64,3,2821.82
attention,0,0,16,64,5,1376.67
attention,0,0,16,64,9,2458.01
attention,0,0,16,128,1,930.853
attention,0,0,16,128,2,1696.8
attention,0,0,16,128,3,2734.47
attention,0,0,16,128,5,1347.59
attention,0,0,16,128,9,2394.86
attention,0,0,16,256,1,869.754
attention,0,0,16,256,2,1589.09
attention,0,0,16,256,3,2570.18
attention,0,0,16,256,5,1272.44
attention,0,0,16,256,9,2247.77
attention,0,0,16,512,1,755.822
attention,0,0,16,512,2,1394.23
attention,0,0,16,512,3,2222.54
attention,0,0,16,512,5,1118.15
attention,0,0,16,512,9,1966.38
attention,0,0,16,1024,1,527.522
attention,0,0,16,1024,2,1001.74
attention,0,0,16,1024,3,1563.8
attention,0,0,16,1024,5,830.511
attention,0,0,16,1024,9,1435.57
attention,0,0,16,2048,1,188.502
attention,0,0,16,2048,2,255.949
attention,0,0,16,2048,3,426.806
attention,0,0,16,2048,5,292.15
attention,0,0,16,2048,9,548.568
attention,0,0,16,4096,1,188.439
attention,0,0,16,4096,2,254.657
attention,0,0,16,4096,3,426.998
attention,0,0,16,4096,5,292.428
attention,0,0,16,4096,9,549.239
attention,0,0,16,8192,1,192.161
attention,0,0,16,8192,2,255.233
attention,0,0,16,8192,3,427.947
attention,0,0,16,8192,5,293.729
attention,0,0,16,8192,9,549.859
attention,0,0,16,16384,1,194.113
attention,0,0,16,16384,2,255.297
attention,0,0,16,16384,3,429.697
attention,0,0,16,16384,5,295.724
attention,0,0,16,16384,9,553.538
attention,0,0,16,32768,1,188.918
attention,0,0,16,32768,2,259.489
attention,0,0,16,32768,3,431.084
attention,0,0,16,32768,5,298.893
attention,0,0,16,32768,9,553.187
attention,0,0,16,65536,1,188.673
