timestamp,vllm:kv_cache_usage_perc,vllm:prefix_cache_queries_total,vllm:prefix_cache_hits_total,vllm:external_prefix_cache_queries_total,vllm:external_prefix_cache_hits_total
2025-12-13T12:42:57.151212,0.25500252835368054,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:42:58.175809,0.2569529726215416,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:42:59.197216,0.2592646102723398,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:00.220347,0.2610705771870259,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:01.241873,0.2622986346890125,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:02.264758,0.26316549880806184,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:03.287505,0.26396012425052373,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:04.310833,0.2646102723398107,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:05.332475,0.2653326591056852,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:06.355088,0.2658383298417973,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:07.378023,0.2663440005779094,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:08.400878,0.2667774326374341,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:09.423306,0.26684967131402154,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:10.444834,0.26706638734378385,31448.0,3680.0,31448.0,1968.0
2025-12-13T12:43:11.467915,0.2704616051433938,32149.0,3680.0,32149.0,1968.0
2025-12-13T12:43:12.490365,0.2794914397168244,34378.0,4080.0,34378.0,2384.0
2025-12-13T12:43:13.513754,0.2868597847287438,35792.0,4176.0,35792.0,2384.0
2025-12-13T12:43:14.535238,0.2938669363577259,36969.0,4176.0,36969.0,2384.0
2025-12-13T12:43:15.558225,0.30123528136964534,38242.0,4192.0,38242.0,2384.0
2025-12-13T12:43:16.583324,0.3106985480026006,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:17.604876,0.31351585638951096,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:18.627605,0.3161886874232464,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:19.653357,0.318717041103807,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:20.678045,0.320667485371668,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:21.700043,0.322617929639529,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:22.721755,0.3240627031712779,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:23.744739,0.32492956729032724,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:24.768450,0.3256519540562017,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:25.790124,0.3263743408220761,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:26.812289,0.3267355342050134,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:27.837225,0.327168966264538,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:28.859208,0.32745792097088783,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:29.882043,0.32781911435382505,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:30.903264,0.32818030773676227,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:31.924586,0.3283970237665246,39877.0,4240.0,39877.0,2640.0
2025-12-13T12:43:32.946792,0.3285415011196995,39877.0,4240.0,39877.0,2640.0
