prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
192,64,1,True,22893.66666666667,22877.422,23035.2344,23088.827999999998
192,96,1,True,31043.906266666665,31008.672000000002,31159.6564,31495.077999999998
192,128,1,True,32658.526000000005,32675.156000000003,32785.75,32829.844000000005
192,160,1,True,34026.7396,34023.672,34118.9532,34198.75
192,192,1,True,35524.95306666666,35481.406,35676.844000000005,35926.25
192,224,1,True,38879.47386666667,38886.328,38984.2656,39038.828
192,256,1,True,41662.55733333334,41643.75,41766.5936,42121.25
192,288,1,True,43952.838533333335,43936.25,44040.7032,44082.422
192,320,1,True,43046.17706666666,43011.406,43134.7188,43313.906
192,352,1,True,46856.42706666667,46835.0,46985.546800000004,47216.406
192,384,1,True,48494.921866666664,48494.922000000006,48620.4844,48660.0
192,416,1,True,50254.92706666666,50218.905999999995,50437.203199999996,50602.578
192,448,1,True,51990.374933333325,51936.405999999995,52214.5156,52486.25
192,480,1,True,56404.05733333333,56403.827999999994,56478.75,56612.422
192,512,1,True,58371.07293333333,58321.25,58511.1564,58585.078
192,544,1,True,60320.90626666667,60329.922000000006,60412.172,60433.672
192,576,1,True,60166.4896,60154.922,60323.1876,60340.0
192,608,1,True,61907.885466666674,61863.75,62083.203199999996,62231.172
192,640,1,True,63528.56773333334,63523.75,63643.0,63689.922000000006
192,672,1,True,65377.588533333335,65361.406,65521.077999999994,65576.25
192,704,1,True,66908.84373333334,66896.328,67017.6872,67086.406
192,736,1,True,70345.08866666669,70332.42199999999,70422.7188,70508.594
192,768,1,True,72342.81253333334,72324.922,72427.2032,72436.172
192,800,1,True,74008.07813333334,73985.0,74161.8904,74255.078
192,832,1,True,74682.15626666667,74648.75,74806.15639999999,74813.67199999999
192,864,1,True,76485.44280000002,76441.09400000001,76776.7188,76852.344
192,896,1,True,78098.89586666667,78058.75,78190.922,78411.328
192,928,1,True,79873.02093333333,79831.25,79981.4064,80051.17199999999
192,960,1,True,81614.88546666667,81588.82800000001,81713.6408,81998.672
192,992,1,True,85326.224,85278.672,85405.3124,85867.344
192,1024,1,True,87394.04173333335,87365.0,87505.1252,87601.25
192,1024,1,True,87394.15106666667,87357.5,87511.9376,87726.172
192,1088,1,True,89223.33853333333,89201.25,89295.0624,89351.25
192,1152,1,True,93871.06773333334,93847.5,93960.422,93966.172
192,1216,1,True,97559.80213333335,97503.828,97620.172,97958.672
192,1280,1,True,104229.09373333333,104232.344,104309.1876,104374.92199999999
192,1344,1,True,105715.12506666667,105692.656,105796.62520000001,105867.422
192,1408,1,True,111090.23959999999,111111.17199999999,111192.17199999999,111235.07800000001
192,1472,1,True,115101.9844,115091.172,115198.42199999999,115256.25
192,1536,1,True,120953.2396,120932.65599999999,121015.92199999999,121330.0
192,1600,1,True,123075.43226666666,123048.67199999999,123131.3752,123393.906
192,1664,1,True,128258.28133333333,128247.422,128362.8908,128376.25
192,1728,1,True,132210.0,132148.75,132407.7968,132626.40600000002
192,1792,1,True,137957.4792,137938.672,138035.25,138077.5
192,1856,1,True,139884.58853333333,139868.75,139979.26559999998,139997.578
224,0,1,True,29992.44786666667,29988.672000000002,30119.859200000003,30320.0
224,32,1,True,24208.687599999997,24182.5,24299.672000000002,24306.328
224,64,1,True,33738.53653333333,33743.594000000005,33814.1564,33832.422
224,96,1,True,35620.34373333333,35628.75,35715.3592,35787.5
224,128,1,True,37259.16146666668,37178.905999999995,37538.89080000001,37569.922
224,160,1,True,38948.666666666664,38971.328,39059.765600000006,39117.266
224,192,1,True,42869.29173333333,42844.844000000005,42981.25,43072.5
224,224,1,True,46012.43746666666,46037.578,46113.296800000004,46147.5
224,256,1,True,48644.614533333326,48627.5,48716.3436,48961.172
224,288,1,True,47556.52080000001,47531.25,47742.828,47891.25
224,320,1,True,51953.18226666666,51952.655999999995,52072.2812,52098.75
224,352,1,True,53796.60413333333,53747.5,53927.3124,54017.656
224,384,1,True,55813.17186666667,55816.328,55931.7812,55985.0
224,416,1,True,57723.38546666667,57741.328,57855.077999999994,57886.25
224,448,1,True,62860.80733333333,62846.25,62956.1876,63027.422
224,480,1,True,65205.59893333333,65198.82800000001,65317.00000000001,65369.844
224,512,1,True,67464.5156,67480.0,67584.60919999999,67615.0
224,544,1,True,67271.41666666667,67262.422,67396.0624,67483.594
224,576,1,True,71852.30733333335,71861.328,71952.93759999999,72056.094
224,608,1,True,73672.95826666665,73630.078,73734.81240000001,73923.75
224,640,1,True,75930.93746666666,75925.078,76026.29680000001,76042.57800000001
224,672,1,True,77795.276,77778.82800000001,77927.84360000001,78049.92199999999
